"Id","IsDeleted","Name","Caption"
"F6BF6922-0257-4B69-8123-0955D84111AF","False","InActive","InActive"
"F011E0BD-775C-4101-A36B-BC1D33E067CD","False","Frozen","Frozen"
"18E42DBE-F9AF-4C90-9F35-DCCDCAD82B51","False","Active","Active"
