"Entity_Name","Column_Name","Data_Type","Data_Type_Length"
"AspNetRoles","Id","uniqueidentifier",""
"AspNetRoles","Name","nvarchar","256.0"
"AspNetRoles","NormalizedName","nvarchar","256.0"
"AspNetRoles","ConcurrencyStamp","nvarchar","-1.0"
"AspNetRoles","Access","nvarchar","-1.0"
"AspNetRoles","IsDeleted","bit",""
"AspNetRoles","Description","nvarchar","-1.0"
"AspNetRoles","IsInternal","bit",""
"AspNetRoles","IsSupervisor","bit",""
"AspNetRoles","IsSystemRole","bit",""
