"Id","IsDeleted","Name","Caption","Row"
"686DDF2C-9489-47E1-8522-3666E991B60D","False","Owner","Owner","3"
"1BA5792B-9529-4869-B941-AA8C17D6527F","False","Contributor","Contributor","4"
"E7594EC1-1045-49F0-9651-C5AE555A9D6C","False","Can View","View","1"
"5296ADE6-AD01-486E-84B9-D8EFE8B0CB0A","False","Can Edit","Edit","2"
