"Table Name","Started At","End At","Description","Status","Total Records","Created On","Triggered Medium"
"account_engagement","2023-05-04, 04:43:09 AM","2023-05-04, 04:43:29 AM","Failed to extract data from Source Db.","Failed","30","2023-05-04","SCHEDULED"
"account_engagement","2023-05-04, 04:43:09 AM","2023-05-04, 04:43:46 AM","Failed to prepare final CSV file with header and source data.","Failed","30","2023-05-04","SCHEDULED"
"account","2023-05-04, 04:53:41 AM","2023-05-04, 04:54:53 AM","Transformation process completed.","Success","30","2023-05-04","SCHEDULED"
"account_engagement","2023-05-04, 04:43:09 AM","2023-05-04, 04:56:37 AM","Transformation process completed.","Success","30","2023-05-04","SCHEDULED"
"account_engagement_type","2023-05-04, 04:56:22 AM","2023-05-04, 04:57:20 AM","Transformation process completed.","Success","2","2023-05-04","SCHEDULED"
"account_assigneduser","2023-05-04, 04:56:14 AM","2023-05-04, 04:57:20 AM","Transformation process completed.","Success","28","2023-05-04","SCHEDULED"
"account_engagement_billrate","2023-05-04, 04:56:20 AM","2023-05-04, 04:58:30 AM","Transformation process completed.","Success","168","2023-05-04","SCHEDULED"
"account_engagement_users","2023-05-04, 04:56:22 AM","2023-05-04, 04:58:41 AM","Transformation process completed.","Success","192","2023-05-04","SCHEDULED"
"account_notes","2023-05-04, 04:59:32 AM","2023-05-04, 05:00:49 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"account_frequency_type","2023-05-04, 04:59:29 AM","2023-05-04, 05:00:55 AM","Transformation process completed.","Success","3","2023-05-04","SCHEDULED"
"AspNetRoleClaims","2023-05-04, 04:59:36 AM","2023-05-04, 05:01:03 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"AspNetUserClaims","2023-05-04, 04:59:37 AM","2023-05-04, 05:01:05 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"account_status","2023-05-04, 04:59:32 AM","2023-05-04, 05:01:05 AM","Transformation process completed.","Success","3","2023-05-04","SCHEDULED"
"application_version","2023-05-04, 04:59:34 AM","2023-05-04, 05:01:05 AM","Transformation process completed.","Success","1","2023-05-04","SCHEDULED"
"AspNetUserLogins","2023-05-04, 04:59:37 AM","2023-05-04, 05:01:05 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"AspNetRoles","2023-05-04, 04:59:36 AM","2023-05-04, 05:01:10 AM","Transformation process completed.","Success","11","2023-05-04","SCHEDULED"
"AspNetUserRoles","2023-05-04, 04:59:39 AM","2023-05-04, 05:01:21 AM","Transformation process completed.","Success","49","2023-05-04","SCHEDULED"
"AspNetUsers","2023-05-04, 05:05:22 AM","2023-05-04, 05:06:58 AM","Transformation process completed.","Success","49","2023-05-04","MANUAL"
"AspNetUserTokens","2023-05-04, 05:06:11 AM","2023-05-04, 05:07:14 AM","Transformation process completed.","Success","0","2023-05-04","MANUAL"
"commission","2023-05-04, 05:02:28 AM","2023-05-04, 05:08:29 AM","Failed to extract data from Source Db.","Failed","0","2023-05-04","SCHEDULED"
"commission","2023-05-04, 05:02:28 AM","2023-05-04, 05:08:40 AM","Failed to prepare final CSV file with header and source data.","Failed","0","2023-05-04","SCHEDULED"
"category_article","2023-05-04, 05:08:34 AM","2023-05-04, 05:09:20 AM","Transformation process completed.","Success","0","2023-05-04","MANUAL"
"commission","2023-05-04, 05:08:57 AM","2023-05-04, 05:09:47 AM","Transformation process completed.","Success","0","2023-05-04","MANUAL"
"department_group","2023-05-04, 05:10:37 AM","2023-05-04, 05:11:27 AM","Transformation process completed.","Success","0","2023-05-04","MANUAL"
"department_assigneduser","2023-05-04, 05:10:32 AM","2023-05-04, 05:11:31 AM","Transformation process completed.","Success","3","2023-05-04","MANUAL"
"department","2023-05-04, 05:10:25 AM","2023-05-04, 05:11:35 AM","Transformation process completed.","Success","2","2023-05-04","MANUAL"
"expense_log","2023-05-04, 05:10:51 AM","2023-05-04, 05:12:09 AM","Failed to prepare final CSV file with header and source data.","Failed","12","2023-05-04","MANUAL"
"FolderAuthentications","2023-05-04, 05:11:15 AM","2023-05-04, 05:12:18 AM","Failed to extract data from Source Db.","Failed","0","2023-05-04","MANUAL"
