"Table Name","Started At","End At","Description","Status","Total Records","Created On","Triggered Medium"
"account_assigneduser","2023-12-24, 14:16:24 PM","2023-12-24, 14:16:28 PM","Failed to extract data from Source Db.","Failed","61","2023-12-24","SCHEDULED"
"account_assigneduser","2023-12-24, 14:16:24 PM","2023-12-24, 14:16:37 PM","Transformation process completed.","Success","61","2023-12-24","SCHEDULED"
"account_assigneduser","2023-12-24, 14:16:24 PM","2023-12-24, 14:16:48 PM","Failed to prepare final CSV file with header and source data.","Failed","61","2023-12-24","SCHEDULED"
"account_assigneduser","2023-12-24, 16:00:02 PM","2023-12-24, 16:00:16 PM","Transformation process completed.","Success","61","2023-12-24","SCHEDULED"
