"Table Name","Started At","End At","Description","Status","Total Records","Created On","Triggered Medium"
"account","2023-04-10, 08:26:18 AM","2023-04-10, 08:26:34 AM","Failed to extract data from Source Db.","Failed","2","2023-04-10","MANUAL"
"account","2023-04-10, 08:26:18 AM","2023-04-10, 08:31:35 AM","Failed to extract data from Source Db.","Failed","2","2023-04-10","MANUAL"
"account","2023-04-10, 08:26:18 AM","2023-04-10, 08:31:37 AM","Failed to prepare final CSV file with header and source data.","Failed","2","2023-04-10","MANUAL"
"account","2023-04-10, 08:26:18 AM","2023-04-10, 08:36:39 AM","Failed to prepare final CSV file with header and source data.","Failed","2","2023-04-10","MANUAL"
"account","2023-04-10, 09:41:17 AM","2023-04-10, 09:47:07 AM","Transformation process completed.","Success","1","2023-04-10","MANUAL"
"account","2023-04-10, 09:51:13 AM","2023-04-10, 09:57:02 AM","Transformation process completed.","Success","0","2023-04-10","MANUAL"
"account","2023-04-10, 09:59:58 AM","2023-04-10, 10:00:43 AM","Transformation process completed.","Success","0","2023-04-10","MANUAL"
"account_assigneduser","2023-04-10, 10:01:45 AM","2023-04-10, 10:02:25 AM","Transformation process completed.","Success","0","2023-04-10","SCHEDULED"
"account_engagement","2023-04-10, 10:01:46 AM","2023-04-10, 10:02:36 AM","Transformation process completed.","Success","27","2023-04-10","SCHEDULED"
"account_engagement_type","2023-04-10, 11:04:16 AM","2023-04-10, 11:04:55 AM","Transformation process completed.","Success","2","2023-04-10","SCHEDULED"
"account_engagement_users","2023-04-10, 11:04:17 AM","2023-04-10, 11:04:59 AM","Transformation process completed.","Success","0","2023-04-10","SCHEDULED"
"account_frequency_type","2023-04-10, 11:04:18 AM","2023-04-10, 11:04:59 AM","Transformation process completed.","Success","3","2023-04-10","SCHEDULED"
"account_engagement_billrate","2023-04-10, 11:04:14 AM","2023-04-10, 11:05:35 AM","Transformation process completed.","Success","150","2023-04-10","SCHEDULED"
