"Dag Name","Task Name","Description","Status","Start Date","End Date","Triggered Medium"
"now_cfo_account_assigneduser","error_task","Error Occured in now_cfo_account_assigneduser","Failed","2023-12-22, 19:22:16 PM","2023-12-22, 19:33:38 PM","scheduled"
"now_cfo_account_assigneduser","error_task","Error Occured in now_cfo_account_assigneduser","Failed","2023-12-22, 19:22:16 PM","2023-12-22, 19:33:40 PM","scheduled"
"now_cfo_account_assigneduser","error_task","Error Occured in now_cfo_account_assigneduser","Failed","2023-12-22, 19:22:56 PM","2023-12-22, 19:34:16 PM","scheduled"
