"AccountId","AssignedUserId","AssignedById","CreatedDate","UpdatedAt"
"06A3A5D4-F1CE-4473-8857-08DB0083F296","BB3C2856-1B9B-448B-3F25-08DB008453BF","DA6AC379-A8D7-4507-8182-08DAFF1D643C","2023-01-27 16:51:21.079662","2023-01-27 16:51:21.079663"
"1782ABDF-B8F8-431B-8859-08DB0083F296","D8F554E2-614B-440A-3F26-08DB008453BF","DA6AC379-A8D7-4507-8182-08DAFF1D643C","2023-01-27 16:52:07.045658","2023-01-27 16:52:07.045659"
"136D4EB2-6784-46CA-885B-08DB0083F296","CD7DD6E6-10B1-44F4-3F24-08DB008453BF","DA6AC379-A8D7-4507-8182-08DAFF1D643C","2023-01-27 16:46:22.172197","2023-01-27 16:46:22.172198"
"6EDB720D-DF9C-4F43-C7EE-08DB02ECB4A0","966DA69A-D788-4917-F8DC-08DB02E87D95","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","2023-01-30 22:53:10.331360","2023-01-30 22:53:10.331362"
"278BBB65-C01B-4D3F-2230-08DB03179FA0","05DF60B1-4BB8-4FE0-F813-08DB0317D6BB","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","2023-01-30 23:15:12.565436","2023-01-30 23:15:12.565437"
"848083F0-7994-4FB5-2231-08DB03179FA0","892AF1F8-A51A-4AEF-F814-08DB0317D6BB","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","2023-01-30 23:48:39.275430","2023-01-30 23:48:39.275431"
"181B08D6-2644-4C84-154A-08DB0AD08D3C","BEDA557A-3E2B-4828-AD17-08DB0AD36871","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","2023-02-09 22:33:07.271059","2023-02-09 22:33:07.271060"
"441F1402-923F-44BC-8A21-08DB1065AA67","1F95112D-7161-4262-9790-08DB1065CEA5","C73CFED1-5618-45BA-8186-08DAFF1D643C","2023-02-16 21:36:04.952226","2023-02-16 21:36:04.952227"
"0FC18F7D-C662-4813-8A23-08DB1065AA67","84C0E27D-FADC-450A-9793-08DB1065CEA5","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","2023-02-16 22:30:27.850716","2023-02-16 22:30:27.850716"
"E0132BE0-C3A0-4DFE-428D-08DB1131CC9A","9807812D-CAA4-4927-7A2C-08DB1131FD87","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","2023-02-17 21:57:41.012324","2023-02-17 21:57:41.012325"
