"ProjectId","AssignedUserId","AssignedBy","PermissionId","AssignedDate"
"BF2ADD7E-05B0-4EDD-9E78-18CBD8465C97","DA6AC379-A8D7-4507-8182-08DAFF1D643C","DA6AC379-A8D7-4507-8182-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-01-27 16:31:31.622816"
"D5A4CD3B-38A8-4BB2-A20D-8029A494860E","DA6AC379-A8D7-4507-8182-08DAFF1D643C","DA6AC379-A8D7-4507-8182-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-01-27 16:36:39.655491"
"E7D70478-BB65-46B8-BCE7-99AD060BA73E","DA6AC379-A8D7-4507-8182-08DAFF1D643C","DA6AC379-A8D7-4507-8182-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-01-27 16:45:05.457080"
"DC1189F1-9D2C-4957-9B89-A8F8F6788BA6","DA6AC379-A8D7-4507-8182-08DAFF1D643C","DA6AC379-A8D7-4507-8182-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-01-27 16:39:14.489783"
"2DB392CA-6086-4A66-9F9C-CCE07FEEBCD7","DA6AC379-A8D7-4507-8182-08DAFF1D643C","DA6AC379-A8D7-4507-8182-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-01-27 16:53:49.774041"
"93C117B6-3B84-4FD0-BE3A-2B0600903B25","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-02-23 20:09:23.809082"
"E58A0B72-8B54-4495-9A28-2DBA9807B219","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-03-01 19:01:24.424623"
"844DB98F-65AD-4CBC-9DE4-334DE9A3114B","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-02-27 23:06:34.392167"
"1B892DB3-4FA5-4221-861C-45DBD43B2388","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-01-30 23:45:48.031063"
"9316D8B1-64A2-4FE5-852E-4656C9B63963","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-02-23 19:50:15.103699"
"C9EB631D-D66F-43EB-8D40-6FDAE7A889FB","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-02-17 21:56:19.080646"
"3F3B27E0-EDC5-410B-9FF3-7D7EEC4C8647","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-02-16 22:21:32.824710"
"1C4BB2AA-4BE9-40C8-9705-80E646B5E3AB","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-03-30 17:35:12.270778"
"46D2F67D-8862-418F-87D0-850BDDDED099","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-02-09 22:31:09.088084"
"66CFA619-A06A-4A91-A1DC-8B08A30B7E58","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-03-02 00:45:02.322655"
"2180B26A-1B1A-41EB-ADF2-A14F35C0C673","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-03-28 00:14:07.864355"
"337C79B2-69F8-48A1-A200-B1206F0825F1","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-01-30 23:13:40.342119"
"02551BC4-CA63-4BE4-A6FF-B2C88F245AAF","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-01-30 22:51:30.941612"
"789F73C6-31F8-4C6D-B777-BD1B743FDD56","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-02-23 20:36:33.454525"
"A279EF4F-67AC-4097-85D8-BF8575100CC6","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-04-15 00:45:10.617493"
"2D976FB6-F581-49D9-9675-E72644E52D78","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-02-23 20:46:58.580690"
"831E14C8-E198-4579-8CE8-F50DC61C9BEA","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-03-28 00:20:06.085899"
"0BFBC0FD-E231-49D1-B5AD-FCAD43F34874","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","686DDF2C-9489-47E1-8522-3666E991B60D","2023-03-02 21:05:19.793508"
