"Id","UserId","Description","Date","IsRead","NotificationType","Misc","IsDeleted"
"6B4D7795-B659-41B7-A7A9-3BC6CCC779C1","487F4A47-9CCF-42BB-D85B-08DAF8A9D2B6","Project Business Transfer  J&J Estates, LLC has been created by Joshua","2023-01-31 18:14:03.515421","True","4","{""Module"":0,""ModuleId"":""f31c5ac3-21c4-4d8c-b999-6bbb363b3083"",""SubModuleId"":null,""Type"":null}","False"
"77A9C0C8-869E-46E8-ADF8-3D72AB69372D","A753707C-58AB-43A4-D85E-08DAF8A9D2B6","Project SLC Psych Lease Review has been created by Joshua","2023-01-31 18:17:38.843835","False","4","{""Module"":0,""ModuleId"":""c0f3a67a-fb91-43ee-935a-6e1103bc8195"",""SubModuleId"":null,""Type"":null}","False"
"13F03BE2-7DCF-4441-98A3-3ED0F5BBB455","C73CFED1-5618-45BA-8186-08DAFF1D643C","Project Scalability - Catalyst-General has been created by Amber","2023-01-27 16:53:49.829396","False","4","{""Module"":0,""ModuleId"":""2db392ca-6086-4a66-9f9c-cce07feebcd7"",""SubModuleId"":null,""Type"":null}","False"
"39E7345A-49C6-45AF-8BD5-3F4C678D68A5","50A482D2-A62E-4DDD-8181-08DAFF1D643C","Project OFS Interiors-General has been created by Amber","2023-01-27 16:45:05.503452","False","4","{""Module"":0,""ModuleId"":""e7d70478-bb65-46b8-bce7-99ad060ba73e"",""SubModuleId"":null,""Type"":null}","False"
"C5CAAFE2-BCD1-42A8-BF9C-3F814E60D870","C73CFED1-5618-45BA-8186-08DAFF1D643C","Project GRACE NPC-General has been created by Anthony","2023-01-30 23:13:40.403038","False","4","{""Module"":0,""ModuleId"":""337c79b2-69f8-48a1-a200-b1206f0825f1"",""SubModuleId"":null,""Type"":null}","False"
"B72B0CA5-4964-4FE0-B924-46A08C2B6C76","487F4A47-9CCF-42BB-D85B-08DAF8A9D2B6","Project Lloyd Jennings-General has been created by Anthony","2023-01-30 23:45:48.075180","True","4","{""Module"":0,""ModuleId"":""1b892db3-4fa5-4221-861c-45dbd43b2388"",""SubModuleId"":null,""Type"":null}","False"
"9C41CB2B-C2E0-40B2-BEB4-4AD295A5767A","A753707C-58AB-43A4-D85E-08DAF8A9D2B6","Project OFS Rebate Program has been created by Joshua","2023-02-03 21:35:51.556554","False","4","{""Module"":0,""ModuleId"":""e7f1918a-559c-4d8a-b622-601125f68cca"",""SubModuleId"":null,""Type"":null}","False"
"FDD052DE-48D6-4AB8-957A-50F8C819519D","D401284E-B5D9-4C6D-9FA7-08DAF288810D","Project OFS Rebate Program has been created by Joshua","2023-02-03 21:35:51.556553","False","4","{""Module"":0,""ModuleId"":""e7f1918a-559c-4d8a-b622-601125f68cca"",""SubModuleId"":null,""Type"":null}","False"
"4BF43E75-0C93-43F1-B125-53D548D90EEF","50A482D2-A62E-4DDD-8181-08DAFF1D643C","Project New Ascent Inc-General has been created by Amber","2023-01-27 16:39:14.540742","False","4","{""Module"":0,""ModuleId"":""dc1189f1-9d2c-4957-9b89-a8f8f6788ba6"",""SubModuleId"":null,""Type"":null}","False"
"17EC5228-C71A-4131-97CE-541C3EFF8615","C73CFED1-5618-45BA-8186-08DAFF1D643C","Project NCF Corporate cleanup of Entities has been created by Joshua","2023-01-31 18:21:04.567663","False","4","{""Module"":0,""ModuleId"":""cb870cad-4d9b-4686-99a1-6f3bc6e862eb"",""SubModuleId"":null,""Type"":null}","False"
"76CF5F40-9165-4EB5-B550-5491C4367D9E","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Project SB Yab Co LLC-General has been created by Anthony","2023-01-30 22:51:31.143177","True","4","{""Module"":0,""ModuleId"":""02551bc4-ca63-4be4-a6ff-b2c88f245aaf"",""SubModuleId"":null,""Type"":null}","False"
"C9F709AC-6257-44AC-B9B1-55D62E93FB21","487F4A47-9CCF-42BB-D85B-08DAF8A9D2B6","Project OFS Rebate Program has been created by Joshua","2023-02-03 21:35:51.556553","True","4","{""Module"":0,""ModuleId"":""e7f1918a-559c-4d8a-b622-601125f68cca"",""SubModuleId"":null,""Type"":null}","False"
"3275A927-F60A-4393-BEAB-581EE6A05180","F4A5AF47-4C44-415C-8189-08DAFF1D643C","Project Lloyd Jennings-General has been created by Anthony","2023-01-30 23:45:48.075190","False","4","{""Module"":0,""ModuleId"":""1b892db3-4fa5-4221-861c-45dbd43b2388"",""SubModuleId"":null,""Type"":null}","False"
"938F1C89-2D33-405B-A26D-5874B15FC38C","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Project NCF Corporate - Catalyst-General has been created by Amber","2023-01-27 16:36:39.713010","False","4","{""Module"":0,""ModuleId"":""d5a4cd3b-38a8-4bb2-a20d-8029a494860e"",""SubModuleId"":null,""Type"":null}","False"
"21524397-8AEE-4E16-9DBE-5D240E12B150","C73CFED1-5618-45BA-8186-08DAFF1D643C","Project SB Yab Co LLC-General has been created by Anthony","2023-01-30 22:51:31.143177","False","4","{""Module"":0,""ModuleId"":""02551bc4-ca63-4be4-a6ff-b2c88f245aaf"",""SubModuleId"":null,""Type"":null}","False"
"0E19F23E-9861-418D-93CD-65E388E05988","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Project OFS Interiors-General has been created by Amber","2023-01-27 16:45:05.503453","False","4","{""Module"":0,""ModuleId"":""e7d70478-bb65-46b8-bce7-99ad060ba73e"",""SubModuleId"":null,""Type"":null}","False"
"C34F08E8-7266-4E16-B2C4-66B0390AB8DB","487F4A47-9CCF-42BB-D85B-08DAF8A9D2B6","Project Gatemaster Technology Corporation Inc-General has been created by Amber","2023-01-27 16:31:31.935276","True","4","{""Module"":0,""ModuleId"":""bf2add7e-05b0-4edd-9e78-18cbd8465c97"",""SubModuleId"":null,""Type"":null}","False"
"51D06811-2CBF-4207-9F7C-67934BDC186B","50A482D2-A62E-4DDD-8181-08DAFF1D643C","Project Gatemaster Technology Corporation Inc-General has been created by Amber","2023-01-27 16:31:31.935277","False","4","{""Module"":0,""ModuleId"":""bf2add7e-05b0-4edd-9e78-18cbd8465c97"",""SubModuleId"":null,""Type"":null}","False"
"EAF3D873-B130-4C6C-B44A-67DBE55EECDE","A753707C-58AB-43A4-D85E-08DAF8A9D2B6","Project GRACE NPC-General has been created by Anthony","2023-01-30 23:13:40.403035","False","4","{""Module"":0,""ModuleId"":""337c79b2-69f8-48a1-a200-b1206f0825f1"",""SubModuleId"":null,""Type"":null}","False"
"87624A63-9AF3-4971-9C8B-6850DBBCD61C","A753707C-58AB-43A4-D85E-08DAF8A9D2B6","Project New Ascent Inc-General has been created by Amber","2023-01-27 16:39:14.540742","False","4","{""Module"":0,""ModuleId"":""dc1189f1-9d2c-4957-9b89-a8f8f6788ba6"",""SubModuleId"":null,""Type"":null}","False"
"47C28D10-523E-4C99-B4E6-6A800884E448","D401284E-B5D9-4C6D-9FA7-08DAF288810D","Project Business Transfer  J&J Estates, LLC has been created by Joshua","2023-01-31 18:14:03.515420","False","4","{""Module"":0,""ModuleId"":""f31c5ac3-21c4-4d8c-b999-6bbb363b3083"",""SubModuleId"":null,""Type"":null}","False"
"3453C6A7-1534-48D6-A439-6B696555D9A5","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Project Review of MLC Cultural Assessment Report has been created by Joshua","2023-01-31 17:56:56.144734","False","4","{""Module"":0,""ModuleId"":""a2061b0b-107c-498b-8db1-e2cbe3e36a49"",""SubModuleId"":null,""Type"":null}","False"
