"Id","IsDeleted","Name"
"32FA859D-D0E3-4B42-A383-6395381CB8E5","False","Monthly"
"BA141D97-9A2C-4C16-B7AD-B685527ED171","False","Bi-Weekly"
"627441EE-2C71-4F15-996D-F73AD66CB401","False","Weekly"
