"Id","UserId","GroupId","IsDeleted","PermissionId","CreatedDate"
"79FE2561-2212-4D69-6A5E-08DB109C05AF","AB995316-AC5B-4F93-3F22-08DB008453BF","C33FF721-8EBF-4486-FCA6-08DB03B48A73","False","686DDF2C-9489-47E1-8522-3666E991B60D","2023-01-31 17:56:55.489113"
"26614315-3AAA-4FFE-6A5F-08DB109C05AF","AB995316-AC5B-4F93-3F22-08DB008453BF","B52C14EF-738F-4A51-FCA7-08DB03B48A73","False","686DDF2C-9489-47E1-8522-3666E991B60D","2023-01-31 18:14:03.248299"
"1D775F09-C078-4D0F-6A60-08DB109C05AF","AB995316-AC5B-4F93-3F22-08DB008453BF","A261FEF8-B7B4-4248-FCA8-08DB03B48A73","False","686DDF2C-9489-47E1-8522-3666E991B60D","2023-01-31 18:17:38.531958"
"05DD14A3-4D3B-4B97-6A61-08DB109C05AF","AB995316-AC5B-4F93-3F22-08DB008453BF","221C5301-706F-4C3D-FCA9-08DB03B48A73","False","686DDF2C-9489-47E1-8522-3666E991B60D","2023-01-31 18:21:04.307742"
"F075A290-7CC7-48B5-6A62-08DB109C05AF","AB995316-AC5B-4F93-3F22-08DB008453BF","2C1C8338-CBCF-4178-408A-08DB062E9EF5","False","686DDF2C-9489-47E1-8522-3666E991B60D","2023-02-03 21:35:50.817402"
"233FDCC9-8738-4FAB-6A63-08DB109C05AF","AB995316-AC5B-4F93-3F22-08DB008453BF","FF469D35-765B-46FE-E18F-08DB0DD477CA","False","686DDF2C-9489-47E1-8522-3666E991B60D","2023-02-13 16:38:26.886031"
"71E1A9A6-94E3-4321-6A64-08DB109C05AF","AB995316-AC5B-4F93-3F22-08DB008453BF","E424214A-352B-49A7-3B3A-08DB1069298E","False","686DDF2C-9489-47E1-8522-3666E991B60D","2023-02-16 22:00:05.783572"
"364CD834-7AA5-4709-8949-08DB15E1FA08","AB995316-AC5B-4F93-3F22-08DB008453BF","B620C2C4-B0BE-43AC-F9E0-08DB15E1F9E2","False","686DDF2C-9489-47E1-8522-3666E991B60D","2023-02-23 21:07:30.705456"
"644AB7BF-A13D-49D8-894A-08DB15E1FA08","AB995316-AC5B-4F93-3F22-08DB008453BF","8F50B046-ABB8-4E50-F9DE-08DB15E1F9E2","False","686DDF2C-9489-47E1-8522-3666E991B60D","2023-02-23 21:07:30.705417"
"6B72ACF8-F28E-49A1-894B-08DB15E1FA08","AB995316-AC5B-4F93-3F22-08DB008453BF","4D2ADCDF-763B-49F1-F9DF-08DB15E1F9E2","False","686DDF2C-9489-47E1-8522-3666E991B60D","2023-02-23 21:07:30.705435"
"EF34887F-3FE4-45AC-894C-08DB15E1FA08","AB995316-AC5B-4F93-3F22-08DB008453BF","B21738F6-594F-43C3-F9DD-08DB15E1F9E2","False","686DDF2C-9489-47E1-8522-3666E991B60D","2023-02-23 21:07:30.705439"
"E157F0E9-5567-4174-894D-08DB15E1FA08","AB995316-AC5B-4F93-3F22-08DB008453BF","B21738F6-594F-43C3-F9DD-08DB15E1F9E2","False","5296ADE6-AD01-486E-84B9-D8EFE8B0CB0A","0001-01-01 00:00:00"
