"Id","IsDeleted","Name","Caption","Level"
"045EDD4D-1BD3-40E6-A93C-1549B535D74B","False","high","High","3"
"AFE4C597-C9D1-4FBF-B6F2-30720CAD383C","False","medium","Medium","2"
"190DD6DC-54A6-417E-994D-9BB753EDC7D2","False","low","Low","1"
"EFDA54C3-35F0-46EA-BD88-EEA8C0A48358","False","notassigned","Not Assigned","0"
