"EngagementId","UserId","EngagementDisabled","Id","BillRateId","CreateDate","UpdateDate","EffectiveDate"
"1CB9CEE1-5904-48A5-1814-08DB15BD3991","AB995316-AC5B-4F93-3F22-08DB008453BF","False","156F7563-8F25-4742-BC29-1F23395F0F91","F4531FC5-58D0-4FE1-CAE8-08DB15BD9DB5","2023-02-23 20:48:07.377600","2023-02-23 20:48:07.377601",""
"903368F3-BE83-4304-3998-08DB1131D472","AB995316-AC5B-4F93-3F22-08DB008453BF","False","1347CA8C-10DC-4D20-9EC3-21C83EC7CCA7","8CFA88FD-0393-4E88-BF07-08DB112E7B1F","2023-02-17 21:57:24.862520","2023-02-17 21:57:24.862522",""
"76DD98A4-E61A-4EEE-2DA0-08DB1A80A9F0","AB995316-AC5B-4F93-3F22-08DB008453BF","False","338E0A3B-1532-451A-9EE0-24F7FD4245C4","D54B5FEB-22AB-4F8C-057B-08DB1A74BA3C","2023-03-01 19:02:24.162464","2023-03-01 19:02:24.162465",""
"1CB9CEE1-5904-48A5-1814-08DB15BD3991","AB995316-AC5B-4F93-3F22-08DB008453BF","False","8E865210-0564-4764-836B-2656863E8821","BE8E917E-D267-475B-CAE6-08DB15BD9DB5","2023-02-23 20:48:07.351501","2023-02-23 20:48:07.351502",""
"EDABC313-0F1E-4CBF-C94F-08DB0317A5BD","AB995316-AC5B-4F93-3F22-08DB008453BF","False","ED8FF527-8CA3-44B3-B945-27B85B986BB2","80EDBD4E-5ED9-4D40-4798-08DB0317C6FF","2023-01-30 23:14:46.202600","2023-01-30 23:14:46.202601",""
"4248FE98-CA44-4F65-C5F3-08DB00840455","AB995316-AC5B-4F93-3F22-08DB008453BF","False","8F5C99D9-85D8-4280-8460-27F94A4FA6F3","576034EC-C186-446B-001B-08DB0085AF8C","2023-01-27 16:48:18.138807","2023-01-27 16:48:18.138809",""
"2ED507B2-D52B-4288-394D-08DB45B7DE40","AB995316-AC5B-4F93-3F22-08DB008453BF","False","2455E361-D017-4713-BD29-2858A5A76147","FDD55636-634A-4A28-C76C-08DB45B33A04","2023-04-25 18:20:24.118377","2023-04-25 18:20:24.118378",""
"EDABC313-0F1E-4CBF-C94F-08DB0317A5BD","AB995316-AC5B-4F93-3F22-08DB008453BF","False","A10474B9-17E7-40B3-84E0-29359962A740","C3755CFF-09F3-4B6E-4796-08DB0317C6FF","2023-01-30 23:14:46.170173","2023-01-30 23:14:46.170174",""
"F823F86C-4BDE-44C3-180F-08DB15BD3991","AB995316-AC5B-4F93-3F22-08DB008453BF","False","F343E256-27D1-474F-B90C-2A1203AD80C7","","0001-01-01 00:00:00","0001-01-01 00:00:00",""
"58CAC6EF-B24A-4247-5E41-08DB2F1F530D","AB995316-AC5B-4F93-3F22-08DB008453BF","False","99ABA737-50FF-48D7-815C-2A7079522912","BFF681BA-2CF5-4169-717A-08DB2F1A3DB2","2023-03-28 00:21:09.352097","2023-03-28 00:21:09.352098",""
"8874B467-4DBA-4BFB-C5F5-08DB00840455","AB995316-AC5B-4F93-3F22-08DB008453BF","False","EDD40859-60C8-4827-B1E6-2B97DE6E6E63","4EBF0324-4145-46FF-0021-08DB0085AF8C","2023-01-27 16:50:25.641670","2023-01-27 16:50:25.641671",""
"1CB9CEE1-5904-48A5-1814-08DB15BD3991","AB995316-AC5B-4F93-3F22-08DB008453BF","False","3BAEE0FB-CB35-43C7-9058-2EA9DEE50925","1DD34289-951F-48E5-CAE7-08DB15BD9DB5","2023-02-23 20:48:07.376652","2023-02-23 20:48:07.376653",""
"CF23E036-061D-4C01-87FA-08DB31424D3E","AB995316-AC5B-4F93-3F22-08DB008453BF","False","21478BEC-5295-4FC4-9A1E-30B07C097E6F","9DBEA643-7941-4B97-1BF5-08DB3139A4E6","2023-03-30 17:36:05.662741","2023-03-30 17:36:05.662741",""
